fixture_id,league,team_name,team_id,location,real_team_winner,pred_percent_home,pred_percent_draw,pred_percent_away,pred_home_win,pred_home_win_draw,pred_away_win,pred_away_win_draw,predicted_goals_home,predicted_goals_away,pred_draw,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Red Cards,expected_goals,goals_prevented,bookmaker_used,goals_over/under_over_2.5,goals_over/under_over_2.5_prob,goals_over/under_under_2.5,goals_over/under_under_2.5_prob,odds_team_win,odds_draw,corners_over_under_over_10.5,corners_over_under_over_10.5_prob,corners_over_under_under_10.5,corners_over_under_under_10.5_prob
1405452,UEFA Champions League,Lech Poznan,347,home,home,0.33,0.33,0.33,False,False,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405452,UEFA Champions League,Breidablik,276,away,home,0.33,0.33,0.33,False,False,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405448,UEFA Champions League,FC Copenhagen,400,home,home,0.33,0.33,0.33,False,False,False,False,,,True,5.0,9.0,16.0,2.0,14.0,2.0,9.0,6.0,1.0,65%,1.0,1.0,536.0,462.0,86%,,,,,,,,,,,,,,
1405448,UEFA Champions League,Drita,14281,away,home,0.33,0.33,0.33,False,False,False,False,,,True,1.0,4.0,8.0,3.0,5.0,3.0,10.0,3.0,1.0,35%,3.0,3.0,277.0,204.0,74%,,,,,,,,,,,,,,
1405449,UEFA Champions League,Hamrun Spartans,4626,home,away,0.33,0.33,0.33,False,False,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405449,UEFA Champions League,Dynamo Kyiv,572,away,away,0.33,0.33,0.33,False,False,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405453,UEFA Champions League,HNK Rijeka,561,home,draw,0.33,0.33,0.33,False,False,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405453,UEFA Champions League,Ludogorets,566,away,draw,0.33,0.33,0.33,False,False,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405445,UEFA Champions League,Lincoln Red Imps FC,667,home,away,0.33,0.33,0.33,False,False,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405445,UEFA Champions League,FK Crvena Zvezda,598,away,away,0.33,0.33,0.33,False,False,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1383452,UEFA Champions League,Rangers,257,home,home,0.33,0.33,0.33,False,False,False,False,,,True,5.0,5.0,16.0,6.0,8.0,8.0,10.0,3.0,1.0,75%,2.0,4.0,708.0,655.0,93%,0.0,,,,,,,,,,,,,
1383452,UEFA Champions League,Panathinaikos,617,away,home,0.33,0.33,0.33,False,False,False,False,,,True,4.0,6.0,14.0,4.0,13.0,1.0,12.0,6.0,0.0,25%,2.0,3.0,217.0,162.0,75%,1.0,,,,,,,,,,,,,
1405443,UEFA Champions League,KuPS,1165,home,home,0.45,0.45,0.1,True,True,False,False,-1.5,-2.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405443,UEFA Champions League,Kairat Almaty,664,away,home,0.45,0.45,0.1,True,True,False,False,-1.5,-2.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1383451,UEFA Champions League,Pafos,3403,home,draw,0.33,0.33,0.33,False,False,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1383451,UEFA Champions League,Maccabi Tel Aviv,604,away,draw,0.33,0.33,0.33,False,False,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1383450,UEFA Champions League,Plzen,567,home,away,0.33,0.33,0.33,False,False,False,False,,,True,9.0,11.0,25.0,5.0,17.0,8.0,5.0,9.0,2.0,62%,,1.0,496.0,415.0,84%,,,,,,,,,,,,,,
1383450,UEFA Champions League,Servette FC,2184,away,away,0.33,0.33,0.33,False,False,False,False,,,True,2.0,2.0,6.0,2.0,5.0,1.0,10.0,3.0,3.0,38%,,6.0,314.0,222.0,71%,,,,,,,,,,,,,,
1405450,UEFA Champions League,Shkendija,609,home,home,0.45,0.45,0.1,True,True,False,False,-2.5,-2.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405450,UEFA Champions League,FCSB,559,away,home,0.45,0.45,0.1,True,True,False,False,-2.5,-2.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
